127.0.0.1 - - [31/Mar/2022:10:21:56 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:22:02 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 1085
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:22:02 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:39:32 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:45:42 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 1642
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:48:22 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 1712
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:49:28 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 3392
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:50:59 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:50:59 +0900] "GET /bootstrap_pratice/... HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:52:07 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 3808
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:01:15 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 3965
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:01:50 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 4137
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:06:09 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 4714
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:14:57 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 5262
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:18:32 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 5289
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:19:12 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 5315
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:20:08 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:22:46 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 5324
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:26:19 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 5329
0:0:0:0:0:0:0:1 - - [31/Mar/2022:11:41:42 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [31/Mar/2022:12:51:39 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:45:10 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp HTTP/1.1" 200 5385
0:0:0:0:0:0:0:1 - - [31/Mar/2022:13:45:47 +0900] "GET /bootstrap_pratice/bootstrap_pratice_02.jsp? HTTP/1.1" 200 5385
