127.0.0.1 - - [09/Apr/2022:17:22:26 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:27 +0900] "GET /Ascent/ HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:30 +0900] "GET /Ascent/main.do HTTP/1.1" 200 16763
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:30 +0900] "GET /assets/dist/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:30 +0900] "GET /Ascent/headers.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:30 +0900] "GET /Ascent/assets/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:31 +0900] "GET /Ascent/assets/pexels-rose.mp4 HTTP/1.1" 206 9719414
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /assets/dist/css/bootstrap.min.css HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/headers.css HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/css/productlist.css HTTP/1.1" 200 7899
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-C-B-OS-100.png HTTP/1.1" 200 347258
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-C-B-PA-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-F-B-BL-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-C-B-SC-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-F-B-BD-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-F-B-LF-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-F-B-LT-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-F-B-I-50.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/pPList.do HTTP/1.1" 200 43210
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/BYREDO/P-F-B-RML-50.png HTTP/1.1" 200 375017
0:0:0:0:0:0:0:1 - - [09/Apr/2022:17:22:34 +0900] "GET /Ascent/assets/productdetail/DIPTYQUE/P-F-D-DS-75.jpg HTTP/1.1" 200 74676
